"School","Gender","Ethnicity","Type of Homelessness","Count of Students","year"
"Citrus Hills Int","M","Asian-Asian Indian","Temporarily Doubled Up",1,"2014-2015"
"Citrus Hills Int","M","Black or African American","Temporarily Doubled Up",2,"2014-2015"
"Citrus Hills Int","M","Hispanic","Temporarily Doubled Up",7,"2014-2015"
"Citrus Hills Int","M","White","Temporarily Doubled Up",6,"2014-2015"
"Clara Barton Elem","F","Asian-Asian Indian","Temporarily Doubled Up",1,"2014-2015"
"Clara Barton Elem","F","Asian-Chinese","Temporarily Doubled Up",9,"2014-2015"
"Clara Barton Elem","F","Asian-Laotian","Temporarily Doubled Up",1,"2014-2015"
"Clara Barton Elem","F","Asian-Vietnamese","Temporarily Doubled Up",1,"2014-2015"
"Clara Barton Elem","F","Black or African American","Temporarily Doubled Up",5,"2014-2015"
"Clara Barton Elem","F","Filipino","Temporarily Doubled Up",3,"2014-2015"
"Clara Barton Elem","F","Hispanic","Hotels/motels",1,"2014-2015"
"Clara Barton Elem","F","Hispanic","Temporarily Doubled Up",26,"2014-2015"
"Clara Barton Elem","F","Hispanic","Temporarily Unsheltered",1,"2014-2015"
"Clara Barton Elem","F","White","Temporarily Doubled Up",11,"2014-2015"
"Clara Barton Elem","M","Asian-Asian Indian","Temporarily Doubled Up",1,"2014-2015"
"Clara Barton Elem","M","Asian-Chinese","Temporarily Doubled Up",3,"2014-2015"
"Clara Barton Elem","M","Asian-Hmong","Temporarily Doubled Up",1,"2014-2015"
"Clara Barton Elem","M","Black or African American","NULL",1,"2014-2015"
"Clara Barton Elem","M","Black or African American","Temporarily Doubled Up",6,"2014-2015"
"Clara Barton Elem","M","Filipino","Temporarily Doubled Up",2,"2014-2015"
"Clara Barton Elem","M","Hispanic","Hotels/motels",2,"2014-2015"
"Clara Barton Elem","M","Hispanic","Temporarily Doubled Up",37,"2014-2015"
"Clara Barton Elem","M","Hispanic","Temporary Shelters",2,"2014-2015"
"Clara Barton Elem","M","White","Temporarily Doubled Up",10,"2014-2015"
"Corona Fundamental Int","F","Asian-Asian Indian","Temporarily Doubled Up",1,"2014-2015"
"Corona Fundamental Int","F","Filipino","Temporarily Doubled Up",1,"2014-2015"
"Corona Fundamental Int","F","Hispanic","Temporarily Doubled Up",12,"2014-2015"
"Corona Fundamental Int","M","Asian-Asian Indian","Temporarily Doubled Up",2,"2014-2015"
"Corona Fundamental Int","M","Filipino","Temporarily Doubled Up",1,"2014-2015"
"Corona Fundamental Int","M","Hispanic","Temporarily Doubled Up",4,"2014-2015"
"Corona Fundamental Int","M","White","Temporarily Doubled Up",2,"2014-2015"
"Corona High","F","Black or African American","Temporarily Doubled Up",3,"2014-2015"
"Corona High","F","Filipino","Temporarily Doubled Up",1,"2014-2015"
"Corona High","F","Hispanic","Hotels/motels",2,"2014-2015"
"Corona High","F","Hispanic","Temporarily Doubled Up",33,"2014-2015"
"Corona High","F","White","Hotels/motels",1,"2014-2015"
"Corona High","F","White","Temporarily Doubled Up",3,"2014-2015"
"Corona High","M","Asian-Asian Indian","Temporarily Doubled Up",2,"2014-2015"
"Corona High","M","Asian-Vietnamese","Temporarily Doubled Up",1,"2014-2015"
"Corona High","M","Black or African American","Temporarily Doubled Up",3,"2014-2015"
"Corona High","M","Declined to state","Temporarily Doubled Up",1,"2014-2015"
"Corona High","M","Filipino","Temporarily Doubled Up",2,"2014-2015"
"Corona High","M","Hispanic","Hotels/motels",1,"2014-2015"
"Corona High","M","Hispanic","Temporarily Doubled Up",45,"2014-2015"
"Corona High","M","White","Temporarily Doubled Up",10,"2014-2015"
"Corona Ranch Elem","F","Black or African American","Temporarily Doubled Up",4,"2014-2015"
"Corona Ranch Elem","F","Hispanic","Hotels/motels",1,"2014-2015"
"Corona Ranch Elem","F","Hispanic","Temporarily Doubled Up",42,"2014-2015"
"Corona Ranch Elem","F","White","Temporarily Doubled Up",5,"2014-2015"
"Corona Ranch Elem","M","Asian-Asian Indian","Temporarily Doubled Up",1,"2014-2015"
"Corona Ranch Elem","M","Asian-Laotian","Temporarily Doubled Up",2,"2014-2015"
"Corona Ranch Elem","M","Asian-Other","Temporarily Doubled Up",2,"2014-2015"
"Corona Ranch Elem","M","Asian-Vietnamese","Temporarily Doubled Up",1,"2014-2015"
"Corona Ranch Elem","M","Black or African American","Temporarily Doubled Up",3,"2014-2015"
"Corona Ranch Elem","M","Filipino","Temporarily Doubled Up",2,"2014-2015"
"Corona Ranch Elem","M","Hispanic","Hotels/motels",1,"2014-2015"
"Corona Ranch Elem","M","Hispanic","Temporarily Doubled Up",37,"2014-2015"
"Corona Ranch Elem","M","White","Temporarily Doubled Up",5,"2014-2015"
"Corona Vista","F","Hispanic","Temporarily Doubled Up",1,"2014-2015"
"Corona Vista","F","Hispanic","Temporarily Unsheltered",1,"2014-2015"
"Corona-Norco Alternative","F","Black or African American","Hotels/motels",1,"2014-2015"
"Corona-Norco Alternative","F","Black or African American","Temporarily Doubled Up",1,"2014-2015"
"Corona-Norco Alternative","F","Hispanic","Temporarily Doubled Up",5,"2014-2015"
"Corona-Norco Alternative","F","Hispanic","Temporary Shelters",1,"2014-2015"
"Corona-Norco Alternative","F","White","Temporarily Doubled Up",1,"2014-2015"
"Corona-Norco Alternative","F","White","Temporary Shelters",1,"2014-2015"
"Corona-Norco Alternative","M","Black or African American","Temporarily Doubled Up",1,"2014-2015"
"Corona-Norco Alternative","M","Hispanic","Temporarily Doubled Up",1,"2014-2015"
"Corona-Norco Alternative","M","Hispanic","Temporary Shelters",1,"2014-2015"
"Corona-Norco Alternative","M","White","Hotels/motels",1,"2014-2015"
"Corona-Norco Alternative","M","White","Temporarily Doubled Up",2,"2014-2015"
"Corona-Norco Alternative","M","White","Temporarily Unsheltered",1,"2014-2015"
"Corona-Norco Alternative","M","White","Temporary Shelters",1,"2014-2015"
"Coronita Elem","F","Hispanic","Temporarily Doubled Up",1,"2014-2015"
"Coronita Elem","F","White","Temporarily Doubled Up",1,"2014-2015"
"Coronita Elem","M","Asian-Japanese","Hotels/motels",1,"2014-2015"
"Coronita Elem","M","Filipino","Temporarily Doubled Up",1,"2014-2015"
"Coronita Elem","M","Hispanic","Hotels/motels",1,"2014-2015"
"Coronita Elem","M","Hispanic","Temporarily Doubled Up",7,"2014-2015"
"Coronita Elem","M","Hispanic","Temporary Shelters",2,"2014-2015"
"Dr. Augustine Ramirez Int.","F","Asian-Chinese","Temporarily Doubled Up",1,"2014-2015"
"Dr. Augustine Ramirez Int.","F","Black or African American","Temporarily Doubled Up",2,"2014-2015"
"Dr. Augustine Ramirez Int.","F","Filipino","Temporarily Doubled Up",2,"2014-2015"
"Dr. Augustine Ramirez Int.","F","Hispanic","Temporarily Doubled Up",7,"2014-2015"
"Dr. Augustine Ramirez Int.","F","White","Temporarily Doubled Up",2,"2014-2015"
"Dr. Augustine Ramirez Int.","M","Asian-Chinese","Temporarily Doubled Up",1,"2014-2015"
"Dr. Augustine Ramirez Int.","M","Asian-Other","Temporarily Doubled Up",1,"2014-2015"
"Dr. Augustine Ramirez Int.","M","Black or African American","Hotels/motels",1,"2014-2015"
"Dr. Augustine Ramirez Int.","M","Black or African American","Temporarily Doubled Up",3,"2014-2015"
"Dr. Augustine Ramirez Int.","M","Filipino","Temporarily Doubled Up",2,"2014-2015"
"Dr. Augustine Ramirez Int.","M","Hispanic","Hotels/motels",1,"2014-2015"
"Dr. Augustine Ramirez Int.","M","Hispanic","Temporarily Doubled Up",8,"2014-2015"
"Dr. Augustine Ramirez Int.","M","White","Hotels/motels",1,"2014-2015"
"Dr. Augustine Ramirez Int.","M","White","Temporarily Doubled Up",3,"2014-2015"
"Dr. Bernice Jameson Todd Elem","F","Asian-Chinese","Temporarily Doubled Up",1,"2014-2015"
"Dr. Bernice Jameson Todd Elem","F","Asian-Korean","Temporarily Doubled Up",1,"2014-2015"
"Dr. Bernice Jameson Todd Elem","F","Black or African American","Hotels/motels",1,"2014-2015"
"Dr. Bernice Jameson Todd Elem","F","Black or African American","Temporarily Doubled Up",4,"2014-2015"
"Dr. Bernice Jameson Todd Elem","F","Filipino","Temporarily Doubled Up",3,"2014-2015"
"Dr. Bernice Jameson Todd Elem","F","Hispanic","Temporarily Doubled Up",18,"2014-2015"
"Dr. Bernice Jameson Todd Elem","F","White","Temporarily Doubled Up",9,"2014-2015"
"Dr. Bernice Jameson Todd Elem","F","White","Temporarily Unsheltered",1,"2014-2015"
"Dr. Bernice Jameson Todd Elem","M","Black or African American","Temporarily Doubled Up",6,"2014-2015"
"Dr. Bernice Jameson Todd Elem","M","Filipino","Temporarily Doubled Up",1,"2014-2015"
"Dr. Bernice Jameson Todd Elem","M","Hispanic","Temporarily Doubled Up",17,"2014-2015"
"Dr. Bernice Jameson Todd Elem","M","White","Hotels/motels",1,"2014-2015"
"Dr. Bernice Jameson Todd Elem","M","White","Temporarily Doubled Up",15,"2014-2015"
"Dr. Bernice Jameson Todd Elem","M","White","Temporarily Unsheltered",3,"2014-2015"
"Eastvale Elem","F","Asian-Asian Indian","Temporarily Doubled Up",1,"2014-2015"
"Eastvale Elem","F","Asian-Cambodian","Temporarily Doubled Up",1,"2014-2015"
"Eastvale Elem","F","Asian-Chinese","Temporarily Doubled Up",2,"2014-2015"
"Eastvale Elem","F","Asian-Other","Temporarily Doubled Up",1,"2014-2015"
"Eastvale Elem","F","Black or African American","Temporarily Doubled Up",3,"2014-2015"
"Eastvale Elem","F","Hispanic","Temporarily Doubled Up",9,"2014-2015"
"Eastvale Elem","F","Pac Islander -Samoan","Temporarily Doubled Up",1,"2014-2015"
"Eastvale Elem","F","White","Temporarily Doubled Up",3,"2014-2015"
"Eastvale Elem","M","Asian-Asian Indian","Temporarily Doubled Up",2,"2014-2015"
"Eastvale Elem","M","Asian-Chinese","Temporarily Doubled Up",1,"2014-2015"
"Eastvale Elem","M","Black or African American","Temporarily Doubled Up",3,"2014-2015"
"Eastvale Elem","M","Hispanic","Temporarily Doubled Up",21,"2014-2015"
"Eastvale Elem","M","Hispanic","Temporary Shelters",2,"2014-2015"
"Eastvale Elem","M","White","Temporarily Doubled Up",5,"2014-2015"
"Eisenhower Elem","F","Asian-Korean","Temporarily Doubled Up",1,"2014-2015"
"Eisenhower Elem","F","Asian-Vietnamese","Temporarily Doubled Up",1,"2014-2015"
"Eisenhower Elem","F","Filipino","Temporarily Doubled Up",1,"2014-2015"
"Eisenhower Elem","F","Hispanic","Temporarily Doubled Up",15,"2014-2015"
"Eisenhower Elem","F","White","Temporarily Doubled Up",18,"2014-2015"
"Eisenhower Elem","M","Asian-Asian Indian","Temporarily Doubled Up",2,"2014-2015"
"Eisenhower Elem","M","Asian-Other","Temporarily Doubled Up",1,"2014-2015"
"Eisenhower Elem","M","Black or African American","Temporarily Doubled Up",3,"2014-2015"
"Eisenhower Elem","M","Filipino","Temporarily Doubled Up",1,"2014-2015"
"Eisenhower Elem","M","Hispanic","Hotels/motels",1,"2014-2015"
"Eisenhower Elem","M","Hispanic","Temporarily Doubled Up",13,"2014-2015"
"Eisenhower Elem","M","White","NULL",1,"2014-2015"
"Eisenhower Elem","M","White","Temporarily Doubled Up",13,"2014-2015"
"El Cerrito Middle","F","Black or African American","Temporarily Doubled Up",1,"2014-2015"
"El Cerrito Middle","F","Hispanic","Temporarily Doubled Up",7,"2014-2015"
"El Cerrito Middle","F","White","Temporarily Doubled Up",5,"2014-2015"
"El Cerrito Middle","F","White","Temporarily Unsheltered",1,"2014-2015"
"El Cerrito Middle","M","Asian-Vietnamese","Temporarily Doubled Up",1,"2014-2015"
"El Cerrito Middle","M","Black or African American","Temporarily Doubled Up",2,"2014-2015"
"El Cerrito Middle","M","Filipino","Temporarily Doubled Up",1,"2014-2015"
"El Cerrito Middle","M","Hispanic","Temporarily Doubled Up",8,"2014-2015"
"El Cerrito Middle","M","White","Temporarily Doubled Up",4,"2014-2015"
"El Cerrito Middle","M","White","Temporarily Unsheltered",1,"2014-2015"
"Eleanor Roosevelt High","F","Asian-Laotian","Temporarily Doubled Up",1,"2014-2015"
"Eleanor Roosevelt High","F","Asian-Other","Temporarily Doubled Up",1,"2014-2015"
"Eleanor Roosevelt High","F","Black or African American","Hotels/motels",2,"2014-2015"
"Eleanor Roosevelt High","F","Black or African American","Temporarily Doubled Up",1,"2014-2015"
"Eleanor Roosevelt High","F","Hispanic","Temporarily Doubled Up",4,"2014-2015"
"Eleanor Roosevelt High","F","Hispanic","Temporarily Unsheltered",1,"2014-2015"
"Eleanor Roosevelt High","F","White","Temporarily Doubled Up",1,"2014-2015"
"Eleanor Roosevelt High","M","Asian-Vietnamese","Temporarily Doubled Up",1,"2014-2015"
"Eleanor Roosevelt High","M","Black or African American","Temporarily Doubled Up",2,"2014-2015"
"Eleanor Roosevelt High","M","Filipino","Temporarily Doubled Up",1,"2014-2015"
"Eleanor Roosevelt High","M","Hispanic","Temporarily Doubled Up",6,"2014-2015"
"Eleanor Roosevelt High","M","Hispanic","Temporarily Unsheltered",1,"2014-2015"
"Eleanor Roosevelt High","M","White","Temporarily Doubled Up",1,"2014-2015"
"Eleanor Roosevelt High","M","White","Temporary Shelters",1,"2014-2015"
"Foothill Elem","F","Asian-Japanese","Temporarily Doubled Up",1,"2014-2015"
"Foothill Elem","F","Black or African American","Temporarily Doubled Up",1,"2014-2015"
"Foothill Elem","F","Black or African American","Temporary Shelters",1,"2014-2015"
"Foothill Elem","F","Hispanic","NULL",1,"2014-2015"
"Foothill Elem","F","Hispanic","Temporarily Doubled Up",13,"2014-2015"
"Foothill Elem","F","White","Temporarily Doubled Up",8,"2014-2015"
"Foothill Elem","M","American Indian/Alaskan Native","Temporarily Doubled Up",1,"2014-2015"
"Foothill Elem","M","Asian-Asian Indian","Temporarily Doubled Up",1,"2014-2015"
"Foothill Elem","M","Asian-Chinese","NULL",1,"2014-2015"
"Foothill Elem","M","Black or African American","Temporarily Doubled Up",7,"2014-2015"
"Foothill Elem","M","Hispanic","Temporarily Doubled Up",24,"2014-2015"
"Foothill Elem","M","White","Temporarily Doubled Up",11,"2014-2015"
"Garretson Elem","F","Black or African American","Temporarily Doubled Up",1,"2014-2015"
"Garretson Elem","F","Hispanic","Temporarily Doubled Up",15,"2014-2015"
"Garretson Elem","F","White","Temporarily Doubled Up",1,"2014-2015"
"Garretson Elem","M","Black or African American","Temporarily Doubled Up",1,"2014-2015"
"Garretson Elem","M","Hispanic","Hotels/motels",1,"2014-2015"
"Garretson Elem","M","Hispanic","Temporarily Doubled Up",6,"2014-2015"
"Garretson Elem","M","Hispanic","Temporarily Unsheltered",2,"2014-2015"
"Garretson Elem","M","White","Temporarily Doubled Up",4,"2014-2015"
"George Washington Elem","F","Hispanic","Hotels/motels",2,"2014-2015"
"George Washington Elem","F","Hispanic","Temporarily Doubled Up",3,"2014-2015"
"George Washington Elem","F","White","Temporarily Doubled Up",1,"2014-2015"
"George Washington Elem","M","Hispanic","Hotels/motels",2,"2014-2015"
"George Washington Elem","M","Hispanic","Temporarily Doubled Up",6,"2014-2015"
"George Washington Elem","M","White","Temporarily Doubled Up",1,"2014-2015"
"Harada Elem","F","Asian-Asian Indian","Temporarily Doubled Up",3,"2014-2015"
"Harada Elem","F","Asian-Vietnamese","Temporarily Doubled Up",2,"2014-2015"
"Harada Elem","F","Black or African American","Temporarily Doubled Up",5,"2014-2015"
"Harada Elem","F","Hispanic","Hotels/motels",1,"2014-2015"
"Harada Elem","F","Hispanic","Temporarily Doubled Up",16,"2014-2015"
"Harada Elem","F","Hispanic","Temporary Shelters",1,"2014-2015"
"Harada Elem","F","Pac Islander -Samoan","Temporarily Doubled Up",1,"2014-2015"
"Harada Elem","F","White","Temporarily Doubled Up",2,"2014-2015"
"Harada Elem","M","Asian-Asian Indian","Temporarily Doubled Up",1,"2014-2015"
"Harada Elem","M","Asian-Hmong","Temporarily Doubled Up",1,"2014-2015"
"Harada Elem","M","Asian-Vietnamese","Temporarily Doubled Up",1,"2014-2015"
"Harada Elem","M","Black or African American","Hotels/motels",2,"2014-2015"
"Harada Elem","M","Black or African American","Temporarily Doubled Up",1,"2014-2015"
"Harada Elem","M","Hispanic","Temporarily Doubled Up",18,"2014-2015"
"Harada Elem","M","White","Hotels/motels",1,"2014-2015"
"Highland Elem","F","Hispanic","Hotels/motels",1,"2014-2015"
"Highland Elem","F","Hispanic","Temporarily Doubled Up",7,"2014-2015"
"Highland Elem","F","Hispanic","Temporary Shelters",1,"2014-2015"
"Highland Elem","F","White","Temporarily Doubled Up",7,"2014-2015"
"Highland Elem","M","Hispanic","Hotels/motels",2,"2014-2015"
"Highland Elem","M","Hispanic","Temporarily Doubled Up",6,"2014-2015"
"Highland Elem","M","White","Temporarily Doubled Up",4,"2014-2015"
"Home Gardens Academy","F","Hispanic","Temporarily Doubled Up",59,"2014-2015"
"Home Gardens Academy","M","Hispanic","Temporarily Doubled Up",66,"2014-2015"
"Home Gardens Academy","M","White","Temporarily Doubled Up",1,"2014-2015"
"Jefferson Elem","F","Black or African American","Hotels/motels",1,"2014-2015"
"Jefferson Elem","F","Black or African American","Temporarily Doubled Up",1,"2014-2015"
"Jefferson Elem","F","Black or African American","Temporarily Unsheltered",1,"2014-2015"
"Jefferson Elem","F","Hispanic","Hotels/motels",1,"2014-2015"
"Jefferson Elem","F","Hispanic","Temporarily Doubled Up",34,"2014-2015"
"Jefferson Elem","M","American Indian/Alaskan Native","Temporarily Doubled Up",1,"2014-2015"
"Jefferson Elem","M","Black or African American","Hotels/motels",2,"2014-2015"
"Jefferson Elem","M","Black or African American","Temporarily Unsheltered",1,"2014-2015"
"Jefferson Elem","M","Hispanic","Temporarily Doubled Up",24,"2014-2015"
"Jefferson Elem","M","White","Hotels/motels",3,"2014-2015"
"Jefferson Elem","M","White","Temporarily Doubled Up",1,"2014-2015"
"John Adams Elem","F","Black or African American","Hotels/motels",2,"2014-2015"
"John Adams Elem","F","Hispanic","NULL",3,"2014-2015"
"John Adams Elem","F","Hispanic","Hotels/motels",1,"2014-2015"
"John Adams Elem","F","Hispanic","Temporarily Doubled Up",15,"2014-2015"
"John Adams Elem","F","White","Hotels/motels",2,"2014-2015"
"John Adams Elem","F","White","Temporarily Doubled Up",1,"2014-2015"
"John Adams Elem","M","Filipino","Temporarily Doubled Up",1,"2014-2015"
"John Adams Elem","M","Hispanic","Hotels/motels",1,"2014-2015"
"John Adams Elem","M","Hispanic","Temporarily Doubled Up",17,"2014-2015"
"John Adams Elem","M","White","NULL",1,"2014-2015"
"John Adams Elem","M","White","Hotels/motels",1,"2014-2015"
"John Adams Elem","M","White","Temporarily Doubled Up",1,"2014-2015"
"John F Kennedy Middle College HS","F","Black or African American","Temporarily Doubled Up",2,"2014-2015"
"John F Kennedy Middle College HS","F","White","Temporarily Doubled Up",3,"2014-2015"
"John F Kennedy Middle College HS","M","Hispanic","Temporarily Doubled Up",3,"2014-2015"
"John F Kennedy Middle College HS","M","White","NULL",1,"2014-2015"
"John F Kennedy Middle College HS","M","White","Temporarily Doubled Up",1,"2014-2015"
"John Stallings Elem","F","Black or African American","Temporarily Doubled Up",1,"2014-2015"
"John Stallings Elem","F","Hispanic","NULL",4,"2014-2015"
"John Stallings Elem","F","Hispanic","Temporarily Doubled Up",6,"2014-2015"
"John Stallings Elem","F","White","NULL",2,"2014-2015"
"John Stallings Elem","F","White","Temporarily Doubled Up",1,"2014-2015"
"John Stallings Elem","M","Black or African American","NULL",1,"2014-2015"
"John Stallings Elem","M","Hispanic","Temporarily Doubled Up",2,"2014-2015"
"John Stallings Elem","M","Hispanic","Temporary Shelters",1,"2014-2015"
"John Stallings Elem","M","White","Temporarily Doubled Up",1,"2014-2015"
"Lee V Pollard High","F","Black or African American","Temporarily Doubled Up",1,"2014-2015"
"Lee V Pollard High","F","Declined to state","Hotels/motels",1,"2014-2015"
"Lee V Pollard High","F","Hispanic","Temporarily Doubled Up",8,"2014-2015"
"Lee V Pollard High","F","Hispanic","Temporarily Unsheltered",1,"2014-2015"
"Lee V Pollard High","F","White","Temporarily Doubled Up",1,"2014-2015"
"Lee V Pollard High","M","Black or African American","Hotels/motels",1,"2014-2015"
"Lee V Pollard High","M","Black or African American","Temporarily Doubled Up",2,"2014-2015"
"Lee V Pollard High","M","Black or African American","Temporarily Unsheltered",1,"2014-2015"
"Lee V Pollard High","M","Hispanic","Temporarily Doubled Up",13,"2014-2015"
"Lee V Pollard High","M","Hispanic","Temporarily Unsheltered",1,"2014-2015"
"Lee V Pollard High","M","White","Hotels/motels",1,"2014-2015"
"Lee V Pollard High","M","White","Temporarily Doubled Up",2,"2014-2015"
"Lee V Pollard High","M","White","Temporary Shelters",1,"2014-2015"
"Lincoln Alternative Elem","F","Asian-Other","Temporarily Doubled Up",1,"2014-2015"
"Lincoln Alternative Elem","F","Hispanic","Temporarily Doubled Up",9,"2014-2015"
"Lincoln Alternative Elem","F","White","Temporarily Doubled Up",3,"2014-2015"
"Lincoln Alternative Elem","M","Filipino","Temporarily Doubled Up",1,"2014-2015"
"Lincoln Alternative Elem","M","Hispanic","Hotels/motels",1,"2014-2015"
"Lincoln Alternative Elem","M","Hispanic","Temporarily Doubled Up",4,"2014-2015"
"Lincoln Alternative Elem","M","White","Temporarily Doubled Up",2,"2014-2015"
"Norco Elem","F","Hispanic","Temporarily Doubled Up",2,"2014-2015"
"Norco Elem","F","White","Temporarily Doubled Up",2,"2014-2015"
"Norco Elem","M","Hispanic","Temporarily Doubled Up",2,"2014-2015"
"Norco Elem","M","White","Temporarily Doubled Up",3,"2014-2015"
"Norco High","F","Black or African American","Hotels/motels",1,"2014-2015"
"Norco High","F","Black or African American","Temporarily Doubled Up",2,"2014-2015"
"Norco High","F","Filipino","Temporarily Doubled Up",1,"2014-2015"
"Norco High","F","Hispanic","Temporarily Doubled Up",6,"2014-2015"
"Norco High","F","Hispanic","Temporarily Unsheltered",1,"2014-2015"
"Norco High","F","Hispanic","Temporary Shelters",2,"2014-2015"
"Norco High","F","White","Hotels/motels",2,"2014-2015"
"Norco High","F","White","Temporarily Doubled Up",5,"2014-2015"
"Norco High","F","White","Temporarily Unsheltered",2,"2014-2015"
"Norco High","F","White","Temporary Shelters",2,"2014-2015"
"Norco High","M","Asian-Vietnamese","Temporary Shelters",1,"2014-2015"
"Norco High","M","Black or African American","Temporarily Doubled Up",2,"2014-2015"
"Norco High","M","Black or African American","Temporary Shelters",1,"2014-2015"
"Norco High","M","Hispanic","Hotels/motels",1,"2014-2015"
"Norco High","M","Hispanic","Temporarily Doubled Up",8,"2014-2015"
"Norco High","M","Hispanic","Temporarily Unsheltered",1,"2014-2015"
"Norco High","M","White","Hotels/motels",2,"2014-2015"
"Norco High","M","White","Temporarily Doubled Up",7,"2014-2015"
"Norco High","M","White","Temporarily Unsheltered",2,"2014-2015"
"Norco High","M","White","Temporary Shelters",2,"2014-2015"
"Norco Int","F","Filipino","Temporarily Doubled Up",1,"2014-2015"
"Norco Int","F","Hispanic","Temporarily Doubled Up",2,"2014-2015"
"Norco Int","F","White","Temporarily Doubled Up",4,"2014-2015"
"Norco Int","M","Hispanic","Temporarily Doubled Up",6,"2014-2015"
"Norco Int","M","White","Temporarily Doubled Up",2,"2014-2015"
"Norco Int","M","White","Temporarily Unsheltered",1,"2014-2015"
"NPS","F","Hispanic","Temporarily Doubled Up",1,"2014-2015"
"Orange Elem","F","Black or African American","Temporarily Doubled Up",2,"2014-2015"
"Orange Elem","F","Black or African American","Temporary Shelters",1,"2014-2015"
"Orange Elem","F","Hispanic","Hotels/motels",1,"2014-2015"
"Orange Elem","F","Hispanic","Temporarily Doubled Up",12,"2014-2015"
"Orange Elem","F","White","Temporarily Doubled Up",12,"2014-2015"
"Orange Elem","M","Black or African American","Temporarily Doubled Up",1,"2014-2015"
"Orange Elem","M","Hispanic","Temporarily Doubled Up",26,"2014-2015"
"Orange Elem","M","White","NULL",1,"2014-2015"
"Orange Elem","M","White","Temporarily Doubled Up",9,"2014-2015"
"Orange Grove High","F","Asian-Cambodian","Temporarily Doubled Up",1,"2014-2015"
"Orange Grove High","F","Hispanic","Temporarily Doubled Up",3,"2014-2015"
"Orange Grove High","F","White","Temporarily Doubled Up",1,"2014-2015"
"Orange Grove High","F","White","Temporarily Unsheltered",1,"2014-2015"
"Orange Grove High","M","Hispanic","Hotels/motels",1,"2014-2015"
"Orange Grove High","M","Hispanic","Temporarily Doubled Up",2,"2014-2015"
"Orange Grove High","M","White","Hotels/motels",1,"2014-2015"
"Orange Grove High","M","White","Temporarily Doubled Up",1,"2014-2015"
"Orange Grove High","M","White","Temporarily Unsheltered",1,"2014-2015"
"Parkridge Elementary","F","Black or African American","Temporary Shelters",1,"2014-2015"
"Parkridge Elementary","F","Hispanic","Hotels/motels",3,"2014-2015"
"Parkridge Elementary","F","Hispanic","Temporarily Doubled Up",36,"2014-2015"
"Parkridge Elementary","F","Hispanic","Temporary Shelters",1,"2014-2015"
"Parkridge Elementary","M","Asian-Laotian","Temporarily Doubled Up",1,"2014-2015"
"Parkridge Elementary","M","Black or African American","Hotels/motels",1,"2014-2015"
"Parkridge Elementary","M","Hispanic","NULL",2,"2014-2015"
"Parkridge Elementary","M","Hispanic","Temporarily Doubled Up",50,"2014-2015"
"Parkridge Elementary","M","Hispanic","Temporary Shelters",1,"2014-2015"
"Parkridge Elementary","M","White","Temporarily Doubled Up",1,"2014-2015"
"Prado View Elem","F","Asian-Chinese","Temporarily Doubled Up",2,"2014-2015"
"Prado View Elem","F","Filipino","Temporarily Doubled Up",1,"2014-2015"
"Prado View Elem","F","Hispanic","Temporarily Doubled Up",18,"2014-2015"
"Prado View Elem","F","White","Temporarily Doubled Up",10,"2014-2015"
"Prado View Elem","M","Asian-Korean","Temporarily Doubled Up",2,"2014-2015"
"Prado View Elem","M","Asian-Other","Temporarily Doubled Up",1,"2014-2015"
"Prado View Elem","M","Filipino","Temporarily Doubled Up",1,"2014-2015"
"Prado View Elem","M","Hispanic","Temporarily Doubled Up",18,"2014-2015"
"Prado View Elem","M","Pac Islander-Guamanian","Temporarily Doubled Up",1,"2014-2015"
"Prado View Elem","M","White","Temporarily Doubled Up",8,"2014-2015"
"Raney Intermediate School","F","Black or African American","Temporarily Doubled Up",1,"2014-2015"
"Raney Intermediate School","F","Filipino","Temporarily Doubled Up",1,"2014-2015"
"Raney Intermediate School","F","Hispanic","Temporarily Doubled Up",11,"2014-2015"
"Raney Intermediate School","F","White","Temporarily Doubled Up",2,"2014-2015"
"Raney Intermediate School","M","Asian-Vietnamese","Temporarily Doubled Up",1,"2014-2015"
"Raney Intermediate School","M","Hispanic","Hotels/motels",1,"2014-2015"
"Raney Intermediate School","M","Hispanic","Temporarily Doubled Up",8,"2014-2015"
"Raney Intermediate School","M","White","Hotels/motels",1,"2014-2015"
"River Heights Int.","F","Asian-Chinese","Temporarily Doubled Up",1,"2014-2015"
"River Heights Int.","F","Black or African American","Temporarily Doubled Up",4,"2014-2015"
"River Heights Int.","F","Hispanic","Hotels/motels",1,"2014-2015"
"River Heights Int.","F","Hispanic","Temporarily Doubled Up",9,"2014-2015"
"River Heights Int.","M","Black or African American","Hotels/motels",2,"2014-2015"
"River Heights Int.","M","Black or African American","Temporarily Doubled Up",1,"2014-2015"
"River Heights Int.","M","Filipino","Temporarily Doubled Up",1,"2014-2015"
"River Heights Int.","M","Hispanic","Temporarily Doubled Up",13,"2014-2015"
"Riverview Elem","F","Asian-Asian Indian","Temporarily Doubled Up",1,"2014-2015"
"Riverview Elem","F","Black or African American","Temporarily Doubled Up",3,"2014-2015"
"Riverview Elem","F","Filipino","Temporarily Doubled Up",2,"2014-2015"
"Riverview Elem","F","Hispanic","Temporarily Doubled Up",21,"2014-2015"
"Riverview Elem","F","White","Temporarily Doubled Up",17,"2014-2015"
